record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
3826 3826 29.96 0:00:02:07.425/600 0:00:02:07.405/600 454.51 307.44 148.51 124.43 -1000.00 -1000.00 37.00 40.00 
3827 3827 29.96 0:00:02:07.445/600 0:00:02:07.425/600 454.21 307.45 148.60 124.43 -1000.00 -1000.00 37.00 39.00 
3828 3828 29.96 0:00:02:07.465/600 0:00:02:07.445/600 453.42 306.75 148.81 124.25 -1000.00 -1000.00 37.00 39.00 
3829 3829 29.96 0:00:02:07.485/600 0:00:02:07.465/600 449.42 302.11 149.85 123.06 -1000.00 -1000.00 37.00 27.00 
3830 3830 29.96 0:00:02:07.505/600 0:00:02:07.485/600 445.69 297.53 150.81 121.90 -1000.00 -1000.00 38.00 29.00 
3831 3831 29.96 0:00:02:07.525/600 0:00:02:07.505/600 441.74 293.66 151.86 120.91 -1000.00 -1000.00 37.00 29.00 
3832 3832 29.96 0:00:02:07.545/600 0:00:02:07.525/600 438.79 289.75 152.60 119.92 -1000.00 -1000.00 37.00 27.00 
3833 3833 29.96 0:00:02:07.566/600 0:00:02:07.545/600 439.02 290.04 152.55 120.00 -1000.00 -1000.00 37.00 27.00 
3834 3834 29.96 0:00:02:07.586/600 0:00:02:07.566/600 439.22 289.54 152.47 119.87 -1000.00 -1000.00 37.00 28.00 
3835 3835 29.96 0:00:02:08.06/600 0:00:02:07.586/600 438.35 292.32 152.80 120.56 -1000.00 -1000.00 38.00 30.00 
3836 3836 29.96 0:00:02:08.26/600 0:00:02:08.06/600 437.50 295.00 153.12 121.23 -1000.00 -1000.00 37.00 25.00 
3837 3837 29.96 0:00:02:08.46/600 0:00:02:08.26/600 436.80 297.35 153.39 121.81 -1000.00 -1000.00 36.00 24.00 
3838 3838 29.96 0:00:02:08.66/600 0:00:02:08.46/600 436.05 300.00 153.68 122.47 -1000.00 -1000.00 37.00 25.00 
3839 3839 29.96 0:00:02:08.86/600 0:00:02:08.66/600 436.30 299.92 153.61 122.45 -1000.00 -1000.00 38.00 25.00 
3840 3840 29.96 0:00:02:08.106/600 0:00:02:08.86/600 436.43 299.68 153.56 122.39 -1000.00 -1000.00 37.00 24.00 
3841 3841 29.96 0:00:02:08.126/600 0:00:02:08.106/600 435.52 300.60 153.85 122.62 -1000.00 -1000.00 38.00 24.00 
3842 3842 29.96 0:00:02:08.146/600 0:00:02:08.126/600 434.53 302.15 154.18 123.00 -1000.00 -1000.00 38.00 26.00 
3843 3843 29.96 0:00:02:08.166/600 0:00:02:08.146/600 433.77 302.86 154.42 123.17 -1000.00 -1000.00 37.00 24.00 
3844 3844 29.96 0:00:02:08.186/600 0:00:02:08.166/600 432.87 304.40 154.72 123.55 -1000.00 -1000.00 37.00 25.00 
3845 3845 29.96 0:00:02:08.206/600 0:00:02:08.186/600 432.82 305.15 154.76 123.74 -1000.00 -1000.00 38.00 25.00 
3846 3846 29.96 0:00:02:08.226/600 0:00:02:08.206/600 433.09 304.43 154.66 123.56 -1000.00 -1000.00 37.00 23.00 
3847 3847 29.96 0:00:02:08.246/600 0:00:02:08.226/600 432.89 304.99 154.73 123.70 -1000.00 -1000.00 38.00 26.00 
3848 3848 29.96 0:00:02:08.266/600 0:00:02:08.246/600 433.12 304.37 154.65 123.55 -1000.00 -1000.00 37.00 23.00 
3849 3849 29.96 0:00:02:08.286/600 0:00:02:08.266/600 433.29 303.70 154.58 123.38 -1000.00 -1000.00 37.00 24.00 
3850 3850 29.96 0:00:02:08.306/600 0:00:02:08.286/600 433.19 303.59 154.61 123.35 -1000.00 -1000.00 37.00 24.00 
3851 3851 29.96 0:00:02:08.326/600 0:00:02:08.306/600 433.18 303.24 154.60 123.26 -1000.00 -1000.00 38.00 26.00 
3852 3852 29.96 0:00:02:08.346/600 0:00:02:08.326/600 432.04 301.34 154.88 122.78 -1000.00 -1000.00 37.00 24.00 
3853 3853 29.96 0:00:02:08.366/600 0:00:02:08.346/600 430.99 299.70 155.14 122.37 -1000.00 -1000.00 37.00 24.00 
3854 3854 29.96 0:00:02:08.386/600 0:00:02:08.366/600 430.04 298.08 155.37 121.96 -1000.00 -1000.00 37.00 25.00 
3855 3855 29.96 0:00:02:08.406/600 0:00:02:08.386/600 429.34 295.94 155.51 121.42 -1000.00 -1000.00 37.00 25.00 
3856 3856 29.96 0:00:02:08.426/600 0:00:02:08.406/600 429.50 295.91 155.46 121.42 -1000.00 -1000.00 37.00 23.00 
3857 3857 29.96 0:00:02:08.446/600 0:00:02:08.426/600 429.65 296.04 155.42 121.45 -1000.00 -1000.00 37.00 24.00 
